,name,id,ingredients,nutrition,minutes,score
62,absolut vince vega,261358.0,"['absolut citron vodka', 'apple juice']","[65.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.0,0.196
63,a harvest drink,205199.0,"['molasses', 'powdered ginger', 'apple cider vinegar', 'cold water']","[84.3, 0.0, 62.0, 0.0, 0.0, 0.0, 7.0]",10.0,0.195
64,add ins bread,117155.0,"['flour', 'cinnamon', 'eggs', 'sugar', 'vanilla', 'salt', 'baking soda', 'baking powder', 'vegetable oil', 'nuts', 'fruit', 'apple', 'applesauce', 'apricot', 'banana', 'carrot', 'cherries', 'dates', 'eggplant', 'fig', 'marmalade', 'mincemeat', 'orange', 'peach', 'pineapple', 'pumpkin', 'raisins', 'raspberries', 'rhubarb', 'yam', 'zucchini']","[196.8, 15.0, 54.0, 6.0, 5.0, 7.0, 8.0]",70.0,0.195
65,alouette caramel apple brie recipe,390418.0,"['caramels', 'brie cheese', 'apples', 'apple']","[174.2, 20.0, 15.0, 12.0, 19.0, 40.0, 1.0]",20.0,0.194
66,ber quick banoffee pudding   dessert,240447.0,"['banana', 'dulce de leche', 'digestive biscuits']","[105.0, 0.0, 57.0, 0.0, 2.0, 0.0, 8.0]",20.0,0.193
67,albanian spinach pie  byrek me spinaq or pite,501370.0,"['oil', 'phyllo dough', 'spinach', 'feta cheese', 'green onion', 'eggs', 'salt']","[965.4, 93.0, 11.0, 65.0, 47.0, 69.0, 27.0]",60.0,0.192
68,acorn squash with spinach stuffing,358382.0,"['acorn squash', 'celery', 'green onions', 'fresh spinach', 'dry breadcrumbs', 'pecans']","[167.2, 6.0, 5.0, 5.0, 10.0, 2.0, 10.0]",65.0,0.192
69,2 minute low fat strawberry and banana custard comfort food,122791.0,"['banana', 'custard', 'strawberry jelly', 'artificial sweetener', 'cinnamon']","[711.7, 15.0, 43.0, 18.0, 22.0, 16.0, 49.0]",2.0,0.192
70,african spinach,309722.0,"['onion', 'green bell pepper', 'peanut oil', 'fresh spinach', 'tomatoes', 'salt', 'pepper', 'peanut butter']","[210.1, 23.0, 21.0, 19.0, 16.0, 14.0, 4.0]",15.0,0.192
71,almost green scrambled eggs with spinach,20324.0,"['flour', 'milk', 'sour cream', 'eggs', 'salt & pepper', 'cheddar cheese', 'fresh spinach', 'thyme', 'lite olive oil']","[425.7, 43.0, 7.0, 16.0, 48.0, 73.0, 5.0]",15.0,0.191
72,the elvis  smoothie,111875.0,"['banana', 'natural-style peanut butter', '2% low-fat milk', 'sugar-free non-fat vanilla yogurt']","[354.2, 29.0, 94.0, 2.0, 26.0, 24.0, 12.0]",2.0,0.191
73,amazingly easy three ingredient creamed spinach,285124.0,"['frozen chopped spinach', 'lipton onion soup mix', 'sour cream']","[361.2, 41.0, 17.0, 41.0, 30.0, 79.0, 7.0]",17.0,0.190
74,amish  tomato ketchup  for canning,44061.0,"['tomato juice', 'apple cider vinegar', 'sugar', 'salt', 'pepper', 'clove oil', 'cinnamon oil', 'dry mustard']","[352.9, 1.0, 337.0, 23.0, 3.0, 0.0, 28.0]",190.0,0.190
75,amaretto apple cake,101118.0,"['butter', 'eggs', 'vanilla extract', 'flour', 'sugar', 'baking powder', 'ground cinnamon', 'milk', 'almond flavored liqueur', 'apple']","[2249.3, 167.0, 497.0, 58.0, 75.0, 322.0, 94.0]",60.0,0.190
76,baked  apple cinnamon oatmeal,372665.0,"['apple', 'brown sugar', 'cinnamon', 'oats', 'dried cranberries', 'margarine', 'oatmeal']","[109.3, 5.0, 38.0, 1.0, 3.0, 3.0, 6.0]",10.0,0.189
77,amazing stuffed capsicum,99563.0,"['banana peppers', 'bacon', 'onions', 'garlic', 'mozzarella cheese', 'tasty cheese', 'mixed italian herbs', 'oregano', 'salt']","[188.8, 22.0, 10.0, 24.0, 14.0, 30.0, 2.0]",25.0,0.189
78,a a a absolutely the cranberry relish,269418.0,"['fresh cranberries', 'apples', 'raisins', 'brown sugar', 'apple juice concentrate']","[128.1, 0.0, 103.0, 0.0, 1.0, 0.0, 11.0]",20.0,0.189
